respondent_id,survey_year,country,age,gender,education_level,years_of_experience,role,employment_status,company_size,work_mode,coding_hours_per_week,annual_salary_usd,job_satisfaction,career_satisfaction,primary_os,languages_used,frameworks_used,databases_used,cloud_platforms_used,ide_editor,ai_tools_used,ai_usage_frequency,ai_productivity_boost_pct,ai_sentiment,ai_job_threat_perception,primary_learning_source,open_source_contributor,looking_for_job,remote_work_preference_1to5,burnout_frequency,want_to_learn_next
R00013,2022,South Africa,50,Man,Self-taught / Bootcamp,25,Full-Stack Developer,Full-time,1-10,Hybrid,35,46500,5,4,Windows,PHP;HTML/CSS;TypeScript;SQL,Spring Boot;Next.js,Cassandra;Neo4j;MySQL;PostgreSQL,AWS,VS Code;IntelliJ IDEA;Cursor,,Monthly,4,Very positive,Minimal threat,Blogs,1,Open to offers,3,Always,Go;Elixir
R00014,2025,Belgium,24,Man,Bachelor's degree,0,Front-End Developer,Full-time,5001-10000,Remote,41,34600,4,4,Windows,Zig;Python;JavaScript;C++,Angular,SQLite;PostgreSQL,Google Cloud;Azure;Netlify,IntelliJ IDEA;Android Studio,Claude Code;Perplexity,Daily,7,Very positive,Moderate threat,ChatGPT/AI,1,Open to offers,4,Sometimes,TypeScript;Swift
R00015,2021,India,21,Man,Master's degree,2,Student / Intern,Full-time,201-1000,Hybrid,51,4600,4,5,Windows,PHP,Node.js;jQuery;FastAPI;Spring Boot,Microsoft SQL Server;Redis;SQLite;DynamoDB,Cloudflare,VS Code;Cursor;Vim/Neovim,,Multiple times daily,45,Very positive,Minimal threat,Official docs,0,Open to offers,4,Often,Python;HTMX
R00016,2022,Italy,34,Man,Self-taught / Bootcamp,5,Data Engineer,Full-time,11-50,Remote,46,41500,3,5,Windows,JavaScript;Swift;C++;HTML/CSS;Python,Flask;PyTorch;Flutter;Angular,PostgreSQL,Google Cloud;Cloudflare,Xcode;VS Code,ChatGPT;Cursor AI;Claude;Windsurf,Daily,27,Somewhat negative,Moderate threat,Stack Overflow,1,Actively looking,3,Sometimes,Rust;Go;Web3
R00017,2020,United States,32,Man,Master's degree,7,DevOps / SRE,Full-time,201-1000,In-Office,47,186400,2,4,macOS,Bash/Shell,Spring Boot;React;.NET,Elasticsearch,Google Cloud;DigitalOcean,WebStorm,,Never,0,Somewhat positive,Moderate threat,Stack Overflow,1,Not looking,3,Sometimes,Kubernetes;Zig
R00018,2025,Germany,24,Man,Bachelor's degree,0,Back-End Developer,Full-time,1001-5000,Remote,35,28500,3,4,macOS,JavaScript,.NET;Svelte;Node.js,SQLite,Azure;Google Cloud;DigitalOcean,IntelliJ IDEA;VS Code;Eclipse,Cursor AI,Daily,30,Somewhat negative,Minimal threat,ChatGPT/AI,0,Open to offers,4,Sometimes,Elixir;AI/ML;Kotlin
R00019,2023,Kenya,36,Man,Bachelor's degree,13,Data Scientist,Freelance,10000+,Remote,21,19800,5,3,macOS,Swift;HTML/CSS,Angular;Next.js;React;Spring Boot;TensorFlow,MongoDB;Redis,Azure;AWS,VS Code;Xcode;PyCharm,,Never,2,Somewhat positive,Minimal threat,Stack Overflow,0,Open to offers,5,Sometimes,Rust;Swift
R00020,2020,Romania,47,Man,Master's degree,21,Full-Stack Developer,Full-time,1001-5000,Remote,32,60300,4,4,Windows,SQL;Bash/Shell;HTML/CSS;PHP;TypeScript;C,Spring Boot;Express;Django;React Native,MySQL;PostgreSQL;MariaDB,DigitalOcean,Xcode;Cursor;IntelliJ IDEA,Codeium;ChatGPT;Gemini;Perplexity,Monthly,17,Somewhat positive,Will replace most devs,Online courses,0,Open to offers,5,Always,Swift
R00021,2020,Canada,25,Woman,Self-taught / Bootcamp,4,Full-Stack Developer,Full-time,1-10,Remote,20,58000,2,4,Windows,JavaScript;Python;SQL;Ruby;C++,Next.js,Redis,Vercel;AWS;Railway,Vim/Neovim,Perplexity;Gemini;Cursor AI;Tabnine,Monthly,23,Very positive,Minimal threat,Official docs,0,Actively looking,2,Often,TypeScript;Kotlin
R00022,2025,Romania,29,Woman,Self-taught / Bootcamp,10,DevOps / SRE,Full-time,1001-5000,Remote,47,49100,4,2,Linux,Perl;Lua;C#;Java,.NET;Laravel;TensorFlow,DynamoDB,Netlify;Heroku;Vercel,Vim/Neovim;VS Code;Visual Studio,ChatGPT;Perplexity,Daily,17,Somewhat negative,Moderate threat,Blogs,0,Open to offers,5,Often,TypeScript
R00023,2023,Egypt,33,Man,Bachelor's degree,5,Full-Stack Developer,Unemployed,51-200,Hybrid,21,3400,3,5,Windows,C#;SQL;Bash/Shell;C++;Java;Python,.NET;Angular;Flutter,MySQL;SQLite,Azure;AWS,VS Code;IntelliJ IDEA;Xcode,Claude;GitHub Copilot;Codeium;Gemini,Monthly,6,Somewhat negative,Significant threat,Official docs,0,Actively looking,5,Often,Web3;Kotlin;AI/ML
R00024,2025,Pakistan,37,Man,Self-taught / Bootcamp,18,Data Scientist,Student,10000+,Remote,22,2980,3,3,Windows,SQL;HTML/CSS,Next.js;Node.js;jQuery,PostgreSQL,AWS;Azure;Vercel,Visual Studio,GitHub Copilot;Claude;ChatGPT;Cursor AI,Daily,20,Neutral,Minimal threat,Stack Overflow,1,Not looking,5,Sometimes,Go;Swift;Web3
R00025,2025,Israel,50,Man,Self-taught / Bootcamp,29,Front-End Developer,Full-time,1-10,Hybrid,38,90600,4,4,Windows,R,Nuxt.js;Bootstrap;Vue.js,Redis;CockroachDB;PostgreSQL,AWS;Hetzner;Google Cloud,PyCharm;VS Code,ChatGPT;Perplexity;GitHub Copilot;Claude,Multiple times daily,42,Very positive,No threat,Official docs,0,Open to offers,4,Sometimes,Zig;Swift
R00026,2021,United States,31,Man,Bachelor's degree,8,Back-End Developer,Full-time,51-200,Remote,20,174900,3,1,Windows,JavaScript,Node.js;FastAPI;Vue.js,Cassandra;MongoDB;MySQL;Oracle,AWS;Vercel;Heroku,Visual Studio,Claude;ChatGPT;Codeium;GitHub Copilot,Multiple times daily,36,Somewhat negative,Minimal threat,ChatGPT/AI,1,Open to offers,5,Rarely,TypeScript;AI/ML
R00027,2021,United States,21,Man,Doctorate (PhD),0,Freelancer / Consultant,Full-time,10000+,In-Office,25,80200,3,3,macOS,SQL;JavaScript,Angular;.NET,Microsoft SQL Server;PostgreSQL,Cloudflare;Azure;AWS,PyCharm,Perplexity,Never,12,Somewhat positive,No threat,Colleagues,1,Not looking,5,Never,HTMX;Rust
R00028,2025,United States,29,Man,Bachelor's degree,8,Data Scientist,Student,1-10,In-Office,20,0,4,4,Windows,SQL;Java;Ruby,Vue.js;React Native;Node.js,PostgreSQL;Microsoft SQL Server;MySQL;Firebase Realtime DB,Vercel;AWS,VS Code,Claude;Perplexity;ChatGPT;Cursor AI,Multiple times daily,40,Somewhat positive,No threat,YouTube,0,Open to offers,5,Sometimes,Zig
R00029,2020,New Zealand,51,Man,Master's degree,26,Engineering Manager,Full-time,11-50,Remote,37,135400,4,4,Linux,JavaScript;Bash/Shell,Bootstrap;Svelte;jQuery,MariaDB,Azure;AWS;Cloudflare,Android Studio;Xcode,ChatGPT,Daily,33,Neutral,No threat,Colleagues,0,Open to offers,5,Sometimes,Python
R00030,2025,Nigeria,32,Man,Bachelor's degree,13,Back-End Developer,Freelance,1001-5000,Remote,32,8900,4,4,macOS,Python;Rust;Bash/Shell;C#;HTML/CSS;Go,Vue.js;Bootstrap;Spring Boot;.NET;Next.js,ClickHouse,Azure,IntelliJ IDEA;VS Code;Visual Studio,GitHub Copilot;Cursor AI,Never,7,Very positive,Minimal threat,Colleagues,1,Open to offers,5,Often,Zig;Rust
R00031,2021,United Kingdom,24,Man,Bachelor's degree,0,Front-End Developer,Student,51-200,In-Office,8,7740,5,4,macOS,JavaScript;Bash/Shell;SQL,Flask;Spring Boot;NestJS,SQLite;Redis;MongoDB;MySQL,DigitalOcean,Vim/Neovim;IntelliJ IDEA;WebStorm,Codeium;ChatGPT;Gemini;Claude,Multiple times daily,12,Neutral,Minimal threat,ChatGPT/AI,0,Open to offers,5,Sometimes,HTMX;TypeScript;Kubernetes
R00032,2021,France,43,Man,Master's degree,26,Full-Stack Developer,Full-time,10000+,Remote,32,107200,2,5,macOS,HTML/CSS;C;Bash/Shell,Node.js;React;Laravel,MySQL;Microsoft SQL Server,AWS;Hetzner;DigitalOcean,VS Code,v0;Gemini;ChatGPT;Cursor AI,Weekly,26,Somewhat negative,Moderate threat,Official docs,0,Not looking,1,Always,Kotlin
R00033,2023,United Kingdom,24,Man,Master's degree,1,Back-End Developer,Full-time,10000+,Hybrid,28,45500,4,2,macOS,Rust;JavaScript;Ruby;TypeScript;HTML/CSS;Swift,.NET;Laravel,Microsoft SQL Server;MySQL;Redis,Railway,PyCharm;VS Code,,Never,5,Very negative,No threat,Colleagues,0,Open to offers,5,Sometimes,Swift;Zig
R00034,2025,Germany,36,Man,Self-taught / Bootcamp,16,Mobile Developer,Full-time,1-10,Hybrid,42,74300,4,3,macOS,Rust;SQL;JavaScript,Spring Boot,Elasticsearch;MariaDB,AWS;Azure,Visual Studio,Perplexity;Claude,Multiple times daily,46,Somewhat negative,Will replace most devs,Colleagues,0,Not looking,5,Rarely,Rust;Python;Go
R00035,2026,Germany,38,Man,Bachelor's degree,18,Data Scientist,Full-time,201-1000,In-Office,33,105900,5,4,macOS,Bash/Shell;C++;HTML/CSS;SQL,Angular;.NET;Tailwind CSS;Express;NestJS,MongoDB;Microsoft SQL Server;SQLite,Railway;Cloudflare;Google Cloud,Vim/Neovim;IntelliJ IDEA;VS Code,Claude;Perplexity;Gemini;GitHub Copilot,Multiple times daily,42,Somewhat positive,Moderate threat,Stack Overflow,0,Not looking,2,Never,Kubernetes;Python;Go
R00036,2020,United States,33,Man,Bachelor's degree,10,Back-End Developer,Full-time,11-50,Remote,48,205400,4,4,Windows,Lua,Node.js;Spring Boot;Express,Microsoft SQL Server;Oracle;SQLite;Elasticsearch,Heroku;AWS,VS Code;IntelliJ IDEA;Android Studio,,Multiple times daily,15,Somewhat negative,Moderate threat,Online courses,1,Not looking,1,Never,Python;Zig;Rust
R00037,2024,Russia,26,Man,Bachelor's degree,6,Back-End Developer,Full-time,1001-5000,Hybrid,44,19900,3,1,Linux,TypeScript;HTML/CSS;JavaScript;C++;PHP,Tailwind CSS;Next.js;Node.js;Vue.js,Oracle;PostgreSQL,DigitalOcean;Google Cloud,WebStorm;Xcode,Tabnine,Daily,40,Somewhat positive,Minimal threat,YouTube,0,Not looking,4,Sometimes,Zig;Kubernetes
R00038,2026,United States,32,Man,Bachelor's degree,3,Machine Learning Engineer,Full-time,1001-5000,Remote,43,92300,3,5,Linux,JavaScript;TypeScript;Bash/Shell;C#;Java;Rust,PyTorch;Node.js;React;Express;Django,MySQL,Azure;DigitalOcean,WebStorm,Cursor AI,Daily,39,Neutral,Significant threat,Official docs,0,Open to offers,4,Rarely,Rust
R00039,2024,Bangladesh,27,Man,Master's degree,11,Back-End Developer,Freelance,1001-5000,Hybrid,22,10600,5,4,macOS,Python;Bash/Shell;JavaScript;HTML/CSS,React;.NET,Oracle;Redis;Microsoft SQL Server,Cloudflare;Netlify,Vim/Neovim,Claude;GitHub Copilot;Perplexity,Daily,48,Very negative,Minimal threat,Official docs,1,Not looking,3,Sometimes,Go
R00040,2026,Russia,18,Man,Master's degree,0,DevOps / SRE,Student,10000+,Remote,15,0,3,5,macOS,TypeScript;HTML/CSS;Haskell;Java;Go;C++,FastAPI;Node.js;React;Spring Boot;Svelte,MySQL;MariaDB;ClickHouse;MongoDB,Cloudflare;Vercel,VS Code,,Weekly,6,Somewhat positive,Moderate threat,Colleagues,1,Actively looking,3,Never,Go
R00041,2021,United States,18,Man,Self-taught / Bootcamp,2,Student / Intern,Full-time,51-200,Remote,45,37200,4,4,macOS,Python;Dart;Go;HTML/CSS,Vue.js;React;TensorFlow;Angular;Django,MySQL;SQLite;PostgreSQL;Supabase,AWS;Azure;Heroku,Cursor;VS Code,GitHub Copilot,Multiple times daily,47,Very positive,Moderate threat,ChatGPT/AI,0,Not looking,3,Rarely,Python;Zig;Kotlin
R00042,2022,United States,21,Man,Master's degree,3,Full-Stack Developer,Unemployed,1001-5000,Hybrid,17,0,3,5,macOS,C#;TypeScript,jQuery;FastAPI;Spring Boot;Tailwind CSS,MySQL,AWS;Google Cloud;Heroku,Cursor;WebStorm;IntelliJ IDEA,GitHub Copilot,Daily,24,Somewhat positive,Minimal threat,ChatGPT/AI,1,Not looking,3,Rarely,TypeScript;Kotlin;Swift
R00043,2026,Japan,42,Man,Self-taught / Bootcamp,20,Data Scientist,Full-time,201-1000,Remote,41,49400,3,3,macOS,SQL,React;Tailwind CSS,SQLite;PostgreSQL,AWS;Google Cloud;DigitalOcean,WebStorm;PyCharm;Vim/Neovim,ChatGPT;GitHub Copilot;Gemini,Rarely,4,Very positive,No threat,Stack Overflow,0,Open to offers,2,Often,Elixir
R00044,2020,United States,31,Man,Associate degree,9,Front-End Developer,Part-time,1001-5000,Remote,24,98500,3,2,Linux,JavaScript;C,Node.js;Express;Flask,Microsoft SQL Server;MariaDB;Oracle,Render;Cloudflare;Google Cloud,Zed;VS Code,Windsurf;ChatGPT;Codeium,Multiple times daily,11,Somewhat positive,Significant threat,Colleagues,0,Actively looking,2,Often,Zig;Go;AI/ML
R00045,2021,India,41,Man,Bachelor's degree,25,Data Engineer,Full-time,11-50,Hybrid,20,26500,3,4,macOS,JavaScript,FastAPI;Tailwind CSS,Supabase,Netlify;Heroku;AWS,Vim/Neovim,ChatGPT;Perplexity,Multiple times daily,52,Very negative,No threat,Official docs,0,Open to offers,3,Sometimes,Web3;Kotlin;Rust
R00046,2026,China,27,Man,Bachelor's degree,10,Mobile Developer,Full-time,11-50,Remote,37,45400,5,3,macOS,C#;Kotlin;Go;C;C++,.NET;React;Tailwind CSS,Microsoft SQL Server;Redis;PostgreSQL,Cloudflare;Azure;AWS,PyCharm;VS Code;Vim/Neovim,,Multiple times daily,20,Somewhat positive,Will replace most devs,Stack Overflow,0,Actively looking,5,Sometimes,Web3;Rust;Zig
R00047,2025,India,38,Man,Bachelor's degree,19,Data Engineer,Full-time,10000+,Hybrid,34,29400,4,4,Windows,HTML/CSS;TypeScript;Dart;Bash/Shell;Scala,Nuxt.js;PyTorch;Node.js;Bootstrap,Supabase;Microsoft SQL Server,Cloudflare;Heroku;Azure,Sublime Text,ChatGPT,Monthly,13,Somewhat positive,Moderate threat,ChatGPT/AI,1,Not looking,4,Sometimes,Go;HTMX
R00048,2021,Brazil,18,Woman,Doctorate (PhD),0,Back-End Developer,Full-time,10000+,Remote,33,15300,5,2,Linux,Python;HTML/CSS;C;Bash/Shell;JavaScript,Node.js;Bootstrap,Microsoft SQL Server,Netlify,VS Code,GitHub Copilot,Multiple times daily,22,Neutral,Moderate threat,ChatGPT/AI,0,Open to offers,5,Rarely,Elixir;Web3;Rust
R00049,2024,Netherlands,23,Man,Doctorate (PhD),5,Mobile Developer,Full-time,51-200,Hybrid,37,68300,5,4,Linux,HTML/CSS,Angular;Express;React,Microsoft SQL Server;Oracle;ClickHouse,AWS;Google Cloud,VS Code;Visual Studio,Gemini;Perplexity,Monthly,23,Somewhat positive,Minimal threat,YouTube,0,Not looking,3,Sometimes,Web3
R00050,2026,United States,33,Man,Bachelor's degree,7,Full-Stack Developer,Student,201-1000,Remote,25,19840,4,3,Linux,Python;JavaScript;C#;HTML/CSS;Swift,Node.js;Flask,PostgreSQL;Firebase Realtime DB;MySQL;MongoDB,Azure;Cloudflare;Netlify,PyCharm,ChatGPT;GitHub Copilot,Rarely,6,Very positive,No threat,ChatGPT/AI,0,Actively looking,5,Often,HTMX;Swift;Web3
R00051,2022,Germany,18,Man,Self-taught / Bootcamp,0,Front-End Developer,Full-time,51-200,Hybrid,42,73400,4,3,macOS,SQL;C#;Python;Bash/Shell;JavaScript;R,.NET;Bootstrap;Tailwind CSS;Angular,SQLite;PostgreSQL;MongoDB;Oracle,Google Cloud;Heroku;Render,IntelliJ IDEA,,Weekly,28,Very negative,Minimal threat,Online courses,0,Not looking,5,Sometimes,Kotlin;Rust;TypeScript
R00052,2022,United States,38,Man,Master's degree,20,DevOps / SRE,Full-time,51-200,Hybrid,34,248300,4,2,Windows,TypeScript;Bash/Shell;Java,Angular;Svelte;Node.js,Elasticsearch,Cloudflare;AWS,IntelliJ IDEA;Vim/Neovim;Visual Studio,Gemini;Claude;Amazon CodeWhisperer,Rarely,14,Very positive,Will replace most devs,YouTube,0,Open to offers,3,Rarely,Zig;Kotlin
R00053,2022,United Kingdom,35,Man,Master's degree,13,Mobile Developer,Full-time,1-10,Remote,22,94200,4,5,macOS,C;SQL;JavaScript,Laravel;htmx;Django;FastAPI,MySQL;Redis,Vercel;AWS;Google Cloud,PyCharm,GitHub Copilot;ChatGPT;Claude,Daily,36,Somewhat positive,Minimal threat,Colleagues,0,Not looking,5,Sometimes,Rust
R00054,2023,Brazil,28,Man,Bachelor's degree,0,Security Engineer,Full-time,1001-5000,Hybrid,34,12100,3,3,Windows,Go;Swift;JavaScript;Bash/Shell,Laravel;Node.js,SQLite;MariaDB;PostgreSQL;Redis,Hetzner,VS Code,Claude;GitHub Copilot;ChatGPT;Tabnine,Monthly,5,Very positive,No threat,Online courses,0,Not looking,5,Rarely,Web3
R00055,2022,Netherlands,44,Man,Associate degree,28,Freelancer / Consultant,Full-time,5001-10000,In-Office,43,113600,5,2,Windows,SQL;C;Python;Java,NestJS;Flask;Laravel;React;Angular,Elasticsearch;PostgreSQL;SQLite;Redis,Azure;Google Cloud,VS Code;IntelliJ IDEA;Android Studio,Tabnine;Cursor AI;Amazon CodeWhisperer,Multiple times daily,22,Very positive,No threat,Online courses,0,Not looking,5,Sometimes,Kubernetes
R00056,2023,India,40,Woman,Self-taught / Bootcamp,8,Full-Stack Developer,Full-time,1-10,In-Office,48,17300,4,4,Windows,Python,jQuery;Vue.js,Microsoft SQL Server;Elasticsearch;PostgreSQL,Netlify,IntelliJ IDEA,Cursor AI;Claude Code;GitHub Copilot,Daily,0,Neutral,Minimal threat,YouTube,0,Actively looking,4,Sometimes,Zig
R00057,2023,Germany,27,Man,Some college,0,Data Scientist,Full-time,5001-10000,Remote,18,44600,5,3,Windows,HTML/CSS;SQL;Kotlin;JavaScript,React;FastAPI,MySQL;CockroachDB;Supabase,Cloudflare,Cursor,GitHub Copilot;Perplexity;Gemini;Cursor AI,Daily,32,Very positive,Minimal threat,Colleagues,0,Open to offers,5,Rarely,Kubernetes;Web3;AI/ML
R00058,2021,Germany,44,Man,Self-taught / Bootcamp,21,Full-Stack Developer,Full-time,1-10,Hybrid,26,73200,4,4,Windows,TypeScript;Swift,Flask;FastAPI;Bootstrap;Angular,PostgreSQL;MySQL;DynamoDB,Vercel;Heroku,IntelliJ IDEA,Cursor AI;ChatGPT,Daily,23,Very positive,Moderate threat,Blogs,0,Actively looking,5,Sometimes,Rust;Go;Zig
R00059,2021,Australia,35,Man,Master's degree,8,Data Scientist,Full-time,10000+,Remote,46,140200,3,4,Windows,HTML/CSS;JavaScript,Express;Laravel,PostgreSQL;Redis;Microsoft SQL Server;MongoDB,Heroku,VS Code;Visual Studio;Vim/Neovim,Claude;Windsurf;Amazon CodeWhisperer,Weekly,16,Somewhat positive,Significant threat,Official docs,1,Not looking,4,Often,Web3
R00060,2025,India,46,Man,Self-taught / Bootcamp,29,DevOps / SRE,Part-time,51-200,Hybrid,25,26800,5,3,Windows,SQL;HTML/CSS;C#;TypeScript,Svelte;Express;.NET;Vue.js;React,SQLite;PostgreSQL;DynamoDB,Vercel;Hetzner,Vim/Neovim;Android Studio,Amazon CodeWhisperer;GitHub Copilot;ChatGPT,Rarely,0,Neutral,Significant threat,Official docs,0,Not looking,5,Rarely,TypeScript;Kotlin
R00061,2025,Bangladesh,27,Woman,Master's degree,0,Full-Stack Developer,Full-time,5001-10000,In-Office,40,6300,4,3,Linux,Kotlin;C#;TypeScript;Python;SQL;HTML/CSS,Express;Tailwind CSS;Bootstrap,MariaDB;Redis;PostgreSQL,Cloudflare,Visual Studio;Vim/Neovim,,Multiple times daily,33,Neutral,Minimal threat,Official docs,0,Open to offers,5,Rarely,Web3;Kubernetes
R00062,2023,United Kingdom,42,Man,Master's degree,20,Engineering Manager,Full-time,5001-10000,Remote,41,168500,4,4,Linux,TypeScript;C#;Dart;PHP;HTML/CSS;Bash/Shell,.NET;Tailwind CSS;Django;Angular,ClickHouse;Redis;Oracle,Vercel;Cloudflare,Eclipse,Tabnine;Cursor AI;Windsurf;GitHub Copilot,Monthly,5,Somewhat positive,Minimal threat,Official docs,1,Actively looking,3,Rarely,Swift
R00063,2023,United States,37,Man,Bachelor's degree,18,Machine Learning Engineer,Full-time,201-1000,In-Office,33,238500,4,2,Windows,C;Java;HTML/CSS;SQL,React;Flask,PostgreSQL,Google Cloud;Railway,VS Code,,Daily,46,Somewhat positive,No threat,Online courses,0,Actively looking,5,Sometimes,Python;Elixir
R00064,2020,Vietnam,33,Man,Self-taught / Bootcamp,17,Data Engineer,Full-time,10000+,Remote,31,27500,3,2,Linux,Java;Go;Rust;Haskell;JavaScript,Node.js;Flutter;Bootstrap;Spring Boot,Firebase Realtime DB;PostgreSQL,Vercel;AWS,VS Code;PyCharm,Claude;ChatGPT;Gemini;Amazon CodeWhisperer,Weekly,15,Somewhat negative,Moderate threat,Blogs,0,Not looking,4,Often,Go;Kubernetes
R00065,2024,India,25,Man,Bachelor's degree,7,Back-End Developer,Full-time,201-1000,Hybrid,37,20300,5,5,Linux,Kotlin;Python,Node.js;Spring Boot,Neo4j;Firebase Realtime DB,Netlify,VS Code;Xcode;WebStorm,Windsurf;Cursor AI;Gemini,Daily,63,Very positive,Minimal threat,YouTube,0,Open to offers,4,Always,HTMX
R00066,2025,India,35,Man,Bachelor's degree,11,Front-End Developer,Full-time,5001-10000,Remote,37,19200,5,5,Linux,R;HTML/CSS;Python;SQL;Java;Ruby,Bootstrap;Flask;NestJS;Angular;React Native,SQLite;Microsoft SQL Server;DynamoDB,Azure;Hetzner,Sublime Text;Eclipse,Gemini,Multiple times daily,22,Very positive,Significant threat,Official docs,0,Open to offers,4,Sometimes,Kubernetes;Kotlin;HTMX
R00067,2024,India,23,Man,Some college,2,DevOps / SRE,Full-time,11-50,In-Office,37,13900,3,5,Linux,Go;SQL;Bash/Shell;Java,Node.js;Spring Boot,Elasticsearch,Render,VS Code;IntelliJ IDEA,ChatGPT;Perplexity,Multiple times daily,6,Somewhat positive,No threat,YouTube,0,Open to offers,4,Often,AI/ML;Web3;Kubernetes
